N,P,K,soil_type,soil_moisture,temperature,humidity,ph,rainfall,season,water_availability,water_ph,location,label
28,36,25,laterite,low,30.2,49.3,6.1,46.4,kharif,low,7.1,Western Maharashtra,bajra
209,127,97,black,high,20.0,75.6,7.1,187.5,kharif,high,7.4,Marathwada,sugarcane
143,39,139,red,medium,25.1,58.7,6.4,100.3,rabi,medium,6.6,Marathwada,tomato
142,85,119,alluvial,high,20.6,80.3,7.2,225.2,kharif,medium,6.7,Western Maharashtra,turmeric
41,27,33,black,medium,27.6,46.2,5.9,64.5,rabi,medium,6.5,Marathwada,jowar
123,71,91,alluvial,high,18.8,78.6,6.3,231.1,kharif,medium,6.9,Western Maharashtra,turmeric
118,70,98,black,low,25.1,69.7,7.1,92.6,rabi,medium,7.7,Western Maharashtra,onion
76,57,78,red,high,26.9,63.9,6.6,55.5,zaid,medium,7.3,Khandesh,watermelon
151,76,146,alluvial,medium,17.6,63.8,5.8,70.7,rabi,medium,6.5,Vidarbha,potato
126,63,122,black,medium,22.3,65.1,7.2,90.2,rabi,medium,6.6,Vidarbha,orange
114,51,101,red,high,26.8,45.6,7.1,37.4,zaid,medium,6.1,Khandesh,watermelon
72,36,30,red,low,29.0,57.4,6.2,63.1,rabi,medium,7.1,Marathwada,jowar
103,48,24,black,low,26.3,41.2,6.9,85.0,kharif,medium,6.6,Marathwada,cotton
52,46,59,laterite,medium,25.0,74.6,5.6,231.0,zaid,low,5.4,Konkan,cashew
60,59,43,black,medium,24.8,58.1,6.6,67.8,kharif,medium,6.8,Vidarbha,soybean
108,66,51,alluvial,medium,30.0,42.8,6.9,73.2,rabi,medium,7.7,Western Maharashtra,wheat
92,68,126,red,medium,20.7,67.0,5.8,55.3,rabi,medium,7.1,Western Maharashtra,potato
122,45,117,red,medium,28.5,59.1,7.0,111.3,kharif,medium,6.7,Western Maharashtra,tomato
38,66,30,red,low,18.0,50.1,5.2,69.7,kharif,medium,7.7,Marathwada,tur
113,73,51,red,medium,31.6,73.4,6.2,214.6,zaid,medium,6.8,Konkan,mango
135,76,122,alluvial,medium,24.5,84.8,6.6,191.4,kharif,medium,7.4,Marathwada,turmeric
125,66,99,red,medium,26.5,47.2,6.5,58.2,zaid,medium,7.0,Western Maharashtra,tomato
120,49,92,laterite,medium,26.6,70.6,5.4,155.5,zaid,low,7.5,Konkan,mango
124,73,100,red,medium,15.7,62.9,6.2,84.2,rabi,medium,6.8,Vidarbha,orange
127,63,99,red,medium,22.7,57.1,6.3,91.4,rabi,medium,6.5,Marathwada,tomato
93,67,42,alluvial,medium,14.2,47.6,6.5,65.1,rabi,medium,6.8,Western Maharashtra,wheat
73,60,28,black,medium,32.1,57.8,7.4,48.6,rabi,low,8.2,Marathwada,jowar
19,56,37,alluvial,medium,19.0,60.6,6.5,73.1,kharif,medium,7.1,Khandesh,groundnut
142,42,83,black,medium,18.3,35.0,7.4,103.0,rabi,medium,6.5,Vidarbha,orange
104,70,75,black,medium,18.6,77.8,6.4,40.0,rabi,medium,7.2,Western Maharashtra,maize
113,30,57,red,medium,25.0,63.5,6.8,66.3,rabi,medium,7.1,Western Maharashtra,maize
87,48,43,black,medium,20.8,56.4,7.3,62.2,rabi,medium,7.1,Western Maharashtra,wheat
43,33,29,laterite,low,30.9,31.9,7.4,68.9,kharif,low,6.2,Marathwada,bajra
52,81,41,alluvial,medium,24.4,69.4,6.7,64.1,kharif,medium,7.1,Marathwada,soybean
141,71,70,alluvial,medium,27.3,67.6,5.7,137.1,rabi,medium,7.2,Vidarbha,maize
38,73,51,black,medium,23.1,72.8,7.1,95.9,kharif,medium,6.7,Marathwada,soybean
105,48,110,alluvial,medium,23.0,53.7,7.2,54.7,zaid,medium,7.1,Western Maharashtra,watermelon
114,64,124,laterite,medium,40.0,59.9,6.8,94.6,rabi,medium,7.3,Marathwada,grapes
126,65,114,red,medium,27.9,66.4,7.1,98.6,zaid,medium,6.8,Marathwada,tomato
135,72,116,black,medium,28.4,99.5,7.0,227.3,kharif,medium,5.4,Marathwada,turmeric
114,61,34,red,low,26.1,71.2,5.0,105.1,kharif,low,6.1,Marathwada,cotton
146,107,87,alluvial,high,32.1,67.1,7.1,128.4,rabi,high,8.2,Marathwada,sugarcane
203,87,103,alluvial,high,30.1,85.4,7.8,188.5,rabi,high,6.7,Marathwada,sugarcane
127,51,29,red,low,26.4,45.9,6.3,76.9,kharif,medium,7.5,Vidarbha,cotton
111,50,116,alluvial,medium,30.9,65.9,6.6,73.9,rabi,medium,7.8,Western Maharashtra,onion
39,43,23,red,medium,24.3,31.6,5.6,96.6,kharif,low,7.3,Vidarbha,tur
131,61,108,black,medium,19.8,50.3,7.0,86.7,rabi,medium,7.2,Western Maharashtra,onion
117,76,150,red,medium,22.2,61.0,6.1,39.7,rabi,medium,6.5,Western Maharashtra,potato
125,91,102,alluvial,medium,27.8,63.4,5.1,146.2,kharif,high,7.0,Western Maharashtra,turmeric
96,52,43,laterite,high,29.9,78.9,6.5,159.5,kharif,high,6.4,Western Maharashtra,rice
101,78,106,red,low,29.2,40.2,8.3,59.9,rabi,low,7.0,Western Maharashtra,pomegranate
43,69,48,alluvial,medium,25.3,54.5,7.1,96.4,kharif,medium,7.0,Western Maharashtra,groundnut
127,46,42,red,medium,26.0,65.0,7.3,60.2,kharif,low,6.1,Khandesh,cotton
125,47,101,alluvial,medium,23.4,25.6,6.8,75.1,zaid,medium,7.4,Western Maharashtra,pomegranate
88,43,55,laterite,low,22.4,85.3,5.8,240.4,zaid,medium,5.1,Konkan,cashew
124,97,149,laterite,medium,26.0,62.8,7.1,53.0,rabi,medium,6.1,Marathwada,grapes
116,76,48,alluvial,medium,21.3,64.0,6.4,27.7,rabi,medium,7.1,Western Maharashtra,wheat
127,100,129,black,medium,27.5,62.9,7.2,34.2,zaid,medium,8.1,Western Maharashtra,pomegranate
65,35,28,red,low,27.4,25.8,7.3,38.9,kharif,low,6.6,Khandesh,bajra
94,80,126,red,medium,29.0,61.0,5.7,77.8,rabi,medium,5.6,Western Maharashtra,potato
40,73,40,alluvial,medium,29.8,53.6,7.7,48.2,kharif,medium,7.1,Khandesh,groundnut
116,45,29,red,medium,27.4,43.0,7.7,85.7,kharif,medium,7.2,Marathwada,cotton
139,58,66,black,high,28.5,82.2,5.7,269.2,kharif,high,6.1,Konkan,rice
104,47,40,black,low,18.2,76.9,7.0,63.9,kharif,medium,6.5,Marathwada,cotton
121,47,68,red,medium,22.6,90.3,6.2,174.1,zaid,medium,7.3,Western Maharashtra,mango
33,57,35,black,medium,20.4,43.8,6.5,66.9,kharif,medium,7.7,Vidarbha,tur
117,87,169,red,medium,37.4,44.2,7.1,64.8,rabi,medium,7.5,Marathwada,grapes
110,60,65,red,low,34.4,59.3,4.9,164.2,zaid,medium,6.4,Western Maharashtra,mango
131,38,88,red,medium,18.6,68.9,7.5,102.5,kharif,medium,6.5,Marathwada,maize
91,51,26,black,medium,20.8,37.3,7.5,40.7,rabi,medium,7.0,Western Maharashtra,wheat
35,45,47,red,medium,30.0,45.3,7.2,95.3,kharif,medium,7.2,Western Maharashtra,groundnut
100,97,104,red,medium,19.9,66.1,5.7,83.1,rabi,medium,6.4,Vidarbha,potato
100,68,102,red,high,30.1,49.9,5.9,61.4,zaid,medium,7.3,Western Maharashtra,watermelon
68,52,43,black,medium,31.1,49.9,6.7,100.0,kharif,low,6.7,Western Maharashtra,jowar
104,64,113,red,medium,25.2,58.2,7.8,96.0,kharif,medium,7.2,Western Maharashtra,tomato
123,76,82,red,low,19.5,62.2,6.0,106.9,kharif,medium,7.2,Western Maharashtra,onion
94,56,29,alluvial,medium,11.2,56.7,5.5,35.3,rabi,medium,6.1,Vidarbha,wheat
121,76,97,alluvial,high,29.5,73.5,7.3,197.5,kharif,medium,6.4,Western Maharashtra,turmeric
115,77,105,red,medium,28.4,58.7,6.3,78.1,kharif,medium,6.9,Western Maharashtra,tomato
110,44,134,red,medium,36.8,41.4,5.9,64.7,zaid,medium,7.1,Khandesh,watermelon
135,75,34,black,low,28.7,64.7,6.5,90.9,kharif,medium,6.9,Khandesh,cotton
102,47,29,black,low,29.8,64.5,5.9,91.7,kharif,low,7.3,Marathwada,cotton
122,54,92,black,medium,23.2,54.2,7.1,111.0,rabi,medium,6.9,Vidarbha,orange
112,65,48,alluvial,medium,29.5,52.6,6.7,86.7,rabi,medium,6.8,Western Maharashtra,maize
97,78,115,red,low,24.4,69.0,5.8,291.9,zaid,low,5.6,Western Maharashtra,mango
126,38,66,laterite,medium,27.6,70.5,5.0,267.7,zaid,medium,6.6,Konkan,cashew
102,54,105,alluvial,medium,19.4,54.1,6.5,97.5,zaid,medium,7.0,Western Maharashtra,tomato
104,39,81,laterite,low,35.6,66.1,6.2,189.3,zaid,medium,6.8,Konkan,mango
113,60,134,red,medium,25.2,66.7,6.0,86.0,rabi,medium,6.7,Vidarbha,potato
139,57,33,black,low,28.9,56.2,6.7,114.2,kharif,low,6.5,Marathwada,cotton
146,76,120,alluvial,medium,27.8,51.0,7.0,105.5,rabi,medium,7.1,Western Maharashtra,tomato
149,74,87,black,medium,24.1,68.6,6.3,52.0,rabi,medium,7.0,Western Maharashtra,onion
116,57,62,laterite,high,28.9,82.2,5.5,177.4,kharif,high,6.8,Konkan,rice
132,65,116,red,medium,21.0,56.4,6.0,101.9,rabi,medium,6.9,Vidarbha,orange
47,75,39,alluvial,medium,25.1,58.0,6.2,78.2,kharif,medium,5.8,Western Maharashtra,groundnut
95,58,67,red,medium,16.9,53.0,5.9,108.0,rabi,medium,7.2,Western Maharashtra,maize
125,77,132,alluvial,medium,19.9,65.6,6.6,68.2,rabi,medium,6.9,Marathwada,tomato
30,68,16,red,medium,27.8,46.9,6.7,57.2,kharif,medium,6.5,Vidarbha,tur
120,66,108,alluvial,medium,22.2,54.9,6.6,83.1,zaid,medium,7.4,Western Maharashtra,tomato
114,51,101,red,medium,34.3,56.2,7.0,63.0,rabi,medium,6.0,Vidarbha,orange
130,38,62,red,medium,25.2,70.9,5.0,317.0,zaid,medium,6.4,Konkan,cashew
135,75,82,laterite,medium,22.1,62.9,6.8,163.0,zaid,medium,7.0,Konkan,mango
56,27,33,laterite,low,23.4,48.9,5.7,58.1,kharif,low,6.6,Western Maharashtra,bajra
54,35,28,red,low,31.9,37.9,6.7,48.1,kharif,low,6.1,Marathwada,bajra
116,81,18,alluvial,high,23.4,65.0,5.7,336.9,kharif,high,6.6,Western Maharashtra,rice
63,52,41,black,medium,23.9,57.5,6.9,61.9,kharif,medium,7.2,Marathwada,soybean
46,69,53,alluvial,medium,27.3,59.6,7.3,65.5,kharif,medium,6.3,Western Maharashtra,soybean
20,19,11,red,low,24.5,58.8,5.9,34.1,kharif,low,6.5,Western Maharashtra,bajra
46,83,40,alluvial,medium,27.3,55.1,6.5,110.7,kharif,medium,7.6,Western Maharashtra,groundnut
125,53,169,red,medium,25.3,48.6,6.9,46.9,rabi,medium,7.1,Marathwada,grapes
106,93,136,red,medium,24.2,37.2,8.2,39.5,rabi,low,7.2,Western Maharashtra,pomegranate
85,51,32,red,medium,27.1,35.0,7.3,61.0,rabi,medium,6.6,Vidarbha,jowar
106,93,135,black,medium,16.3,47.2,8.2,10.0,rabi,medium,6.9,Western Maharashtra,grapes
117,50,55,alluvial,medium,22.1,66.5,6.6,125.5,kharif,medium,7.8,Western Maharashtra,maize
64,39,35,black,low,35.4,45.7,6.4,38.2,kharif,low,6.4,Marathwada,bajra
72,39,40,red,medium,26.3,74.9,5.4,242.9,zaid,medium,5.9,Konkan,cashew
150,74,114,black,high,31.0,75.5,5.7,171.5,kharif,high,6.6,Marathwada,turmeric
114,50,98,black,medium,26.8,61.9,7.2,52.8,rabi,medium,7.0,Western Maharashtra,grapes
106,43,33,black,medium,26.2,60.9,7.2,51.6,kharif,medium,7.7,Marathwada,cotton
115,75,116,black,medium,23.6,80.7,6.2,197.8,kharif,medium,6.2,Western Maharashtra,turmeric
123,72,92,black,medium,26.0,53.9,7.6,82.8,rabi,medium,6.9,Khandesh,onion
128,43,50,black,medium,19.4,58.2,6.6,57.1,rabi,medium,7.6,Western Maharashtra,wheat
92,55,127,black,medium,22.6,64.9,6.2,310.0,kharif,high,7.0,Marathwada,turmeric
112,40,124,alluvial,low,32.5,35.6,7.4,66.1,rabi,low,8.1,Western Maharashtra,pomegranate
132,41,115,laterite,medium,34.1,73.3,6.8,257.4,zaid,low,6.6,Konkan,mango
122,37,47,alluvial,high,36.7,83.3,6.1,323.8,kharif,high,6.0,Konkan,rice
91,46,44,red,medium,31.2,72.1,5.1,345.5,zaid,medium,5.8,Konkan,cashew
75,39,43,red,medium,28.4,89.2,6.0,156.7,zaid,medium,6.4,Konkan,cashew
113,62,66,alluvial,medium,29.2,47.5,5.0,63.6,kharif,medium,7.3,Marathwada,maize
163,46,120,black,medium,19.2,66.7,6.8,84.1,kharif,medium,6.4,Marathwada,tomato
121,50,94,alluvial,medium,20.0,56.3,7.0,71.5,rabi,medium,7.1,Western Maharashtra,tomato
131,120,79,black,medium,31.6,74.4,6.6,217.5,kharif,high,7.3,Marathwada,sugarcane
94,33,16,red,low,22.4,54.5,8.0,75.8,kharif,low,7.1,Vidarbha,cotton
118,106,114,alluvial,medium,36.7,64.1,8.2,203.8,kharif,high,7.4,Western Maharashtra,sugarcane
119,77,31,black,high,34.7,80.7,6.0,171.6,kharif,high,6.8,Vidarbha,rice
145,72,145,red,medium,22.6,44.3,7.6,49.3,rabi,medium,7.8,Western Maharashtra,grapes
121,90,96,red,medium,31.8,64.0,6.3,107.1,rabi,medium,7.2,Western Maharashtra,maize
26,67,26,red,low,29.1,42.0,6.4,71.7,kharif,low,6.6,Marathwada,tur
102,48,107,red,medium,29.6,55.5,6.2,75.4,rabi,medium,7.1,Vidarbha,orange
125,57,77,alluvial,low,20.6,59.1,7.1,98.8,rabi,medium,7.7,Khandesh,onion
110,84,123,alluvial,medium,21.7,39.5,6.8,69.9,zaid,medium,6.8,Marathwada,tomato
130,68,100,red,medium,28.2,50.3,7.9,46.0,rabi,medium,7.4,Western Maharashtra,onion
167,67,161,laterite,medium,24.0,46.1,6.6,51.2,rabi,medium,7.2,Marathwada,grapes
122,64,94,black,low,33.3,45.9,7.0,59.2,zaid,medium,7.1,Western Maharashtra,pomegranate
34,72,29,black,low,24.3,47.9,5.4,75.9,kharif,low,7.0,Marathwada,tur
116,44,51,alluvial,medium,20.0,55.2,6.3,51.9,rabi,medium,6.6,Vidarbha,wheat
137,68,118,alluvial,medium,31.8,56.2,8.4,79.8,kharif,medium,7.5,Khandesh,onion
69,39,31,red,low,25.0,63.6,6.7,68.2,kharif,low,5.8,Western Maharashtra,bajra
110,77,96,black,medium,29.1,40.4,6.7,53.3,zaid,low,6.8,Marathwada,pomegranate
86,37,35,red,medium,23.7,52.4,7.3,64.0,kharif,medium,7.5,Marathwada,jowar
73,39,31,black,medium,29.9,56.0,7.6,75.5,kharif,low,7.2,Vidarbha,jowar
160,98,111,black,medium,30.5,82.4,7.1,247.2,kharif,high,7.4,Marathwada,sugarcane
87,27,64,red,medium,36.2,78.7,6.2,229.0,zaid,medium,6.2,Konkan,cashew
174,79,143,laterite,medium,35.9,54.5,7.3,88.5,rabi,medium,7.7,Western Maharashtra,grapes
108,45,71,black,medium,27.8,72.4,5.6,127.8,kharif,medium,8.0,Vidarbha,maize
59,69,41,red,medium,29.2,67.6,6.8,84.2,kharif,medium,6.9,Khandesh,groundnut
124,56,104,black,medium,17.8,35.0,8.5,79.3,rabi,medium,6.7,Western Maharashtra,onion
121,39,57,black,high,33.5,93.7,5.7,244.0,kharif,high,6.5,Western Maharashtra,rice
114,80,115,red,medium,24.8,73.6,5.9,60.8,rabi,medium,5.8,Vidarbha,potato
181,94,128,alluvial,medium,24.8,98.2,7.8,115.8,rabi,high,7.0,Marathwada,sugarcane
144,68,88,red,medium,21.6,62.7,6.3,193.5,zaid,medium,7.0,Konkan,mango
123,57,134,black,low,35.0,42.6,7.5,28.2,rabi,medium,7.8,Marathwada,pomegranate
134,60,107,black,medium,24.6,55.4,7.2,95.7,rabi,medium,7.0,Western Maharashtra,tomato
68,67,48,alluvial,medium,25.3,51.9,6.2,80.1,kharif,medium,7.0,Marathwada,soybean
53,44,26,laterite,low,29.3,32.1,6.7,57.6,kharif,low,6.8,Khandesh,bajra
150,72,115,red,low,26.8,56.1,7.0,108.5,rabi,medium,7.1,Western Maharashtra,onion
81,46,52,alluvial,medium,28.4,59.2,6.8,63.1,kharif,medium,7.0,Western Maharashtra,soybean
120,34,32,red,low,23.6,59.8,6.1,341.1,zaid,medium,6.1,Konkan,cashew
135,95,90,alluvial,high,29.8,83.5,7.9,240.7,rabi,high,7.1,Marathwada,sugarcane
158,114,105,black,medium,33.7,63.7,6.2,180.4,kharif,high,6.9,Marathwada,sugarcane
16,59,25,black,medium,29.1,49.4,6.0,53.4,kharif,low,6.4,Marathwada,tur
64,85,53,alluvial,medium,29.4,59.5,6.5,66.1,kharif,medium,7.4,Western Maharashtra,groundnut
66,57,42,black,medium,28.3,61.4,6.6,69.8,kharif,medium,7.2,Western Maharashtra,soybean
73,36,25,red,low,21.5,46.4,7.2,31.4,kharif,low,6.4,Western Maharashtra,bajra
117,53,89,black,medium,22.5,52.8,5.8,113.5,rabi,medium,6.1,Vidarbha,orange
49,50,41,alluvial,medium,24.8,66.2,7.0,54.4,kharif,medium,7.7,Vidarbha,soybean
154,43,18,black,medium,20.4,70.5,5.6,78.5,kharif,low,7.2,Vidarbha,cotton
122,43,37,red,medium,22.6,73.3,7.4,104.2,kharif,medium,6.6,Vidarbha,maize
18,62,23,red,low,31.7,61.5,6.7,36.7,kharif,medium,7.8,Marathwada,tur
123,63,124,red,low,34.0,51.7,7.0,67.1,kharif,medium,7.4,Western Maharashtra,onion
127,59,122,black,medium,30.9,89.8,6.0,159.6,kharif,medium,7.2,Marathwada,turmeric
118,82,79,alluvial,medium,20.1,73.3,6.6,85.9,rabi,medium,7.2,Marathwada,tomato
42,73,37,black,medium,24.7,81.3,5.8,42.2,kharif,medium,7.3,Western Maharashtra,soybean
115,89,90,black,high,27.2,74.1,5.3,153.2,kharif,high,6.7,Marathwada,turmeric
120,61,118,black,low,28.1,53.6,7.7,47.4,zaid,low,7.2,Marathwada,pomegranate
144,57,106,black,medium,26.3,86.3,5.8,210.4,kharif,medium,7.0,Western Maharashtra,turmeric
95,40,54,red,low,33.9,81.1,5.7,305.4,zaid,medium,6.6,Konkan,cashew
66,19,30,black,low,26.8,32.3,7.9,68.5,kharif,low,7.1,Marathwada,bajra
120,64,77,red,low,14.4,60.9,7.1,96.1,rabi,medium,7.4,Western Maharashtra,onion
113,66,123,red,medium,30.6,60.7,7.4,153.4,rabi,medium,6.9,Vidarbha,orange
146,79,135,red,low,22.9,50.6,8.0,67.5,rabi,medium,6.6,Western Maharashtra,onion
83,48,53,black,medium,21.7,49.6,6.0,39.8,rabi,medium,6.7,Vidarbha,wheat
57,75,37,alluvial,medium,29.1,52.5,5.8,72.0,kharif,medium,6.9,Western Maharashtra,soybean
139,53,35,black,medium,33.0,50.0,6.7,75.7,kharif,medium,6.2,Khandesh,cotton
107,52,56,red,low,26.5,72.7,6.5,245.5,zaid,medium,6.2,Konkan,cashew
149,70,123,alluvial,medium,28.2,39.7,6.6,55.2,zaid,low,6.8,Western Maharashtra,pomegranate
119,37,21,red,medium,31.4,62.1,7.2,85.5,kharif,low,7.0,Vidarbha,cotton
159,72,98,black,medium,26.3,87.4,6.2,217.8,kharif,medium,6.2,Western Maharashtra,turmeric
14,51,43,alluvial,medium,28.7,62.2,6.4,77.1,kharif,medium,7.7,Khandesh,groundnut
141,46,45,alluvial,medium,23.7,59.5,6.5,42.2,rabi,medium,6.9,Vidarbha,wheat
119,43,45,alluvial,high,20.9,94.7,4.9,242.8,kharif,high,7.2,Vidarbha,rice
79,20,32,red,medium,29.8,41.7,6.7,50.0,rabi,medium,7.3,Vidarbha,jowar
133,58,158,alluvial,medium,27.1,33.8,7.7,49.6,zaid,low,7.3,Marathwada,pomegranate
152,83,116,laterite,medium,18.0,43.5,7.5,77.6,rabi,medium,6.2,Marathwada,grapes
96,66,86,red,medium,27.1,56.1,6.2,70.1,rabi,medium,7.2,Khandesh,onion
143,76,124,alluvial,medium,19.0,64.4,6.5,68.8,rabi,medium,6.9,Western Maharashtra,onion
102,60,45,black,medium,20.7,42.8,6.4,47.8,rabi,medium,6.4,Western Maharashtra,wheat
109,63,101,black,medium,32.2,39.6,7.1,82.4,rabi,medium,6.7,Vidarbha,orange
94,52,33,red,low,26.3,75.4,5.0,242.8,zaid,low,5.4,Konkan,cashew
144,82,122,black,high,21.4,66.8,7.0,241.3,kharif,high,6.4,Western Maharashtra,turmeric
81,75,81,red,medium,28.2,50.7,6.6,79.5,zaid,medium,7.5,Khandesh,watermelon
70,50,28,alluvial,high,30.9,72.3,5.1,252.4,kharif,high,7.3,Vidarbha,rice
132,60,41,black,medium,15.4,42.7,6.4,82.3,rabi,medium,7.9,Western Maharashtra,wheat
45,83,55,black,medium,24.7,57.4,5.5,47.9,kharif,medium,6.3,Vidarbha,soybean
90,62,38,black,high,34.4,100.4,6.2,368.3,kharif,high,6.9,Konkan,rice
116,101,168,laterite,medium,20.4,39.1,8.4,81.7,rabi,medium,7.4,Western Maharashtra,grapes
110,67,28,black,high,38.1,88.2,5.7,264.7,kharif,high,5.9,Konkan,rice
128,75,175,black,medium,29.0,33.7,7.2,29.9,rabi,medium,7.3,Marathwada,grapes
114,89,110,red,medium,21.9,57.2,6.8,71.8,zaid,medium,6.9,Western Maharashtra,tomato
101,44,46,laterite,low,35.2,79.7,6.0,185.5,zaid,medium,6.6,Konkan,cashew
119,60,31,black,medium,27.6,58.5,7.7,70.7,kharif,medium,7.8,Khandesh,cotton
109,73,100,red,medium,38.8,66.9,6.7,236.6,zaid,low,7.0,Konkan,mango
226,83,93,alluvial,high,25.8,82.4,7.3,254.3,kharif,high,7.5,Marathwada,sugarcane
23,66,56,red,medium,22.5,46.9,7.0,111.6,kharif,medium,6.9,Khandesh,groundnut
48,76,78,alluvial,medium,29.3,52.1,6.6,101.1,kharif,medium,6.4,Khandesh,groundnut
83,25,24,black,low,35.1,40.2,7.1,50.8,kharif,low,6.5,Western Maharashtra,bajra
74,33,22,black,low,36.7,45.3,6.7,38.5,kharif,low,6.9,Khandesh,bajra
40,42,47,alluvial,medium,21.3,45.8,6.2,114.8,kharif,medium,7.4,Khandesh,groundnut
81,28,70,red,low,29.8,83.6,5.1,299.3,zaid,medium,6.7,Konkan,cashew
120,73,107,black,high,27.0,76.1,5.6,204.2,kharif,medium,6.1,Marathwada,turmeric
113,69,103,red,medium,28.6,54.3,5.4,112.7,rabi,medium,7.2,Vidarbha,orange
19,63,24,red,low,31.4,54.3,5.9,58.1,kharif,low,6.7,Vidarbha,tur
129,62,80,black,low,33.4,43.0,7.9,49.6,rabi,low,6.6,Western Maharashtra,pomegranate
69,38,51,laterite,medium,30.4,67.2,6.1,262.9,zaid,low,6.5,Konkan,cashew
113,56,78,black,medium,25.0,54.5,7.3,50.0,kharif,medium,6.7,Western Maharashtra,onion
110,45,36,alluvial,medium,18.4,58.0,7.2,37.1,rabi,medium,7.3,Western Maharashtra,wheat
52,54,46,alluvial,medium,30.0,50.1,6.7,96.8,kharif,medium,7.0,Western Maharashtra,groundnut
88,40,98,alluvial,medium,30.4,48.9,6.6,60.0,zaid,medium,6.8,Khandesh,watermelon
43,73,40,alluvial,medium,28.1,69.0,7.3,96.1,kharif,medium,7.5,Khandesh,groundnut
138,59,124,black,low,18.3,62.8,6.3,98.2,kharif,medium,7.4,Western Maharashtra,onion
141,134,146,alluvial,medium,29.1,74.3,7.6,227.5,rabi,high,7.2,Marathwada,sugarcane
136,41,28,black,medium,25.9,78.8,6.9,103.1,kharif,medium,6.3,Marathwada,cotton
139,38,147,black,low,39.4,50.9,5.9,61.5,rabi,low,7.9,Western Maharashtra,pomegranate
127,66,116,alluvial,high,28.6,52.3,6.8,52.0,zaid,medium,6.5,Khandesh,watermelon
49,55,17,red,low,33.8,20.3,6.7,55.5,kharif,low,6.4,Marathwada,bajra
149,77,197,laterite,medium,31.5,47.0,7.3,23.2,rabi,medium,7.6,Western Maharashtra,grapes
127,74,97,red,medium,24.0,60.3,5.3,88.1,rabi,medium,6.7,Vidarbha,potato
132,91,104,black,high,22.0,71.7,5.8,177.2,kharif,high,6.4,Western Maharashtra,turmeric
120,66,56,black,medium,22.8,59.0,5.7,120.0,kharif,medium,7.1,Western Maharashtra,maize
142,44,22,red,low,27.0,63.1,7.4,55.4,kharif,medium,7.8,Marathwada,cotton
128,63,99,red,medium,37.5,45.0,6.4,90.0,zaid,low,6.5,Konkan,mango
56,69,43,black,medium,24.9,82.9,7.3,80.8,kharif,medium,7.0,Marathwada,soybean
92,66,119,black,medium,19.3,69.0,6.6,75.1,kharif,medium,7.8,Khandesh,onion
60,35,22,black,low,31.9,51.5,7.7,68.9,kharif,medium,7.2,Marathwada,jowar
43,36,13,black,low,40.9,34.9,7.4,53.0,kharif,low,7.1,Khandesh,bajra
67,41,31,laterite,low,37.4,45.9,6.9,41.1,kharif,low,6.6,Marathwada,bajra
15,51,28,red,low,28.7,48.8,6.1,74.0,kharif,medium,7.0,Vidarbha,tur
123,62,45,alluvial,medium,20.2,35.2,6.8,51.1,rabi,medium,6.5,Western Maharashtra,wheat
126,40,91,red,medium,29.8,45.1,6.3,80.4,zaid,medium,7.1,Khandesh,watermelon
125,77,58,alluvial,medium,22.9,40.0,6.5,53.1,rabi,medium,6.7,Western Maharashtra,wheat
99,70,83,laterite,medium,30.0,68.3,6.4,175.5,zaid,low,7.0,Konkan,mango
88,70,69,red,medium,22.1,68.5,6.3,84.2,rabi,medium,6.6,Western Maharashtra,maize
31,52,32,black,medium,25.5,46.6,5.2,35.8,kharif,medium,7.0,Marathwada,tur
126,62,102,alluvial,medium,24.7,71.8,5.8,256.1,kharif,high,7.2,Western Maharashtra,turmeric
93,70,39,alluvial,medium,24.0,54.7,6.8,39.5,rabi,medium,7.0,Vidarbha,wheat
141,61,54,black,medium,25.1,43.5,7.5,42.5,rabi,medium,6.7,Western Maharashtra,wheat
126,65,30,alluvial,medium,20.1,48.3,7.4,65.5,rabi,medium,7.7,Vidarbha,wheat
116,54,98,black,medium,24.1,58.9,6.6,68.9,kharif,medium,7.0,Western Maharashtra,maize
116,90,92,red,medium,12.3,66.4,7.5,30.5,kharif,medium,6.6,Western Maharashtra,onion
105,57,38,black,high,27.6,79.9,6.3,269.0,kharif,high,5.9,Western Maharashtra,rice
102,54,58,red,medium,21.2,62.1,4.9,286.0,zaid,low,5.3,Konkan,cashew
98,57,128,black,medium,22.2,60.8,6.4,92.0,rabi,medium,6.3,Western Maharashtra,tomato
61,16,36,laterite,low,29.4,54.8,6.7,64.7,kharif,low,6.6,Khandesh,bajra
94,70,97,red,medium,25.7,68.0,5.7,192.5,zaid,medium,6.1,Konkan,mango
159,75,108,red,medium,25.5,54.1,6.4,106.2,rabi,medium,6.1,Vidarbha,orange
132,55,127,red,medium,22.7,52.7,6.1,68.5,zaid,medium,6.9,Western Maharashtra,tomato
134,59,144,red,medium,22.2,46.3,6.1,98.6,rabi,medium,6.7,Vidarbha,orange
97,59,104,red,high,32.4,67.7,6.2,54.5,zaid,medium,7.5,Western Maharashtra,watermelon
20,54,58,red,medium,29.7,53.8,7.2,92.2,kharif,medium,7.2,Khandesh,groundnut
135,69,107,black,low,33.1,42.1,6.8,50.6,rabi,medium,7.0,Western Maharashtra,pomegranate
117,58,77,red,high,34.8,53.6,6.1,39.9,zaid,medium,7.3,Western Maharashtra,watermelon
